제목,내용,날짜,추천수,조회수
"[우크라 침공] 현대차, 러시아 공장 가동 잠정 중단…재가동 시점 불투명","현대자동차 - 기아자동차[(왼쪽부터) 현대자동차, 기아자동차 홈페이지 캡처. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 현대자동차가 러시아의 우크라이나 침공 여파로 러시아 상트..",03/10,0,241
"BMW, `M340i 딥블랙` 15일 온라인 출시…18대 한정 판매",(서울=연합뉴스) 박성민 기자 = BMW코리아는 오는 15일 오후 2시부터 3월 온라인 한정 에디션인 'M340i 딥 블랙'을 출시하고 'BMW 샵 온라인'을 통해 18대를 한정 판매한다고..,03/08,2,5092
"현대차, 아반떼 연식변경 모델 판매 시작…""상품성 강화""","현대자동차, '2022 아반떼' 출시(서울=연합뉴스) 현대자동차가 8일 아반떼의 연식 변경 모델 '2022 아반떼'를 출시하고 본격적인 판매에 들어갔다. 사진은 2022 아반떼 외장 이미지..",03/08,1,2028
"르노삼성차, `xEV 트렌드 코리아` 참가…""전기차 즉시 출고 가능""",르노 조에·트위지 전시하고 보조금 컨설팅까지르노 조에[르노삼성차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 르노삼성차는 오는 17∼19일 서울 코엑스에서 열리는 전기차 ..,03/08,0,1095
"스텔란티스코리아 ""신차 9종 출시…지프 1만대클럽 유지할 것""","""지프 SUV 완전전동화 모델 한국서도 곧 만날 것…소통·서비스품질 강화""스텔란티스 코리아[스텔란티스 코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 지프와 푸조, 시..",03/08,0,871
[안산소식] 전기자동차 684대 구매 보조금 지원,(안산=연합뉴스) 경기 안산시는 올해 전기자동차 684대(승용차 400대·화물차 284대)에 구매 보조금을 지원한다고 8일 밝혔다.승용차 보조금은 국비 700만원에 시비 300만원을 더해 ..,03/08,0,319
"금호타이어, MSCI 주관 ESG 평가 AA등급…""국내 업계 최고 수준""",금호타이어 CI[금호타이어 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 금호타이어는 2022년 '모건스탠리캐피털인터내셔널'(MSCI)의 ESG(환경·사회·지배구조) 평가에..,03/08,0,371
"포스코케미칼, GM과 캐나다 퀘벡에 양극재 합작공장 세운다",내년부터 4억달러 투자해 건립…단계적으로 증설 추진포스코케미칼 양극재 글로벌 생산거점 현황[포스코케미칼 제공. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 포스코케미칼이 미국 제..,03/08,0,186
"전남도, 노후 경유차 2만2천대 조기 폐차 지원",경유차 공해[연합뉴스 자료사진](무안=연합뉴스) 여운창 기자 = 전남도는 올해 배출가스 5등급 차량 2만 6천177대의 조기 폐차·매연저감장치 부착 등을 지원한다고 7일 밝혔다.도민 건강권..,03/08,0,273
"포스코케미칼, 광양에 전구체 공장 건설…연산 10만t 규모",완공 시 광양만권 내 양극재 사업 전체 공급망 구축포스코케미칼 양극재 광양공장[포스코케미칼 홈페이지 캡처. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 포스코케미칼이 배터리 소재..,03/08,0,217
"유록스, 화물차주 대상 불량 요소수 피해 방지 강연 진행",제3회 화물창업 아카데미 참석예비 화물차주에게 유록스 제공롯데정밀화학이 지난달 26일 열린 제3회 화물창업 아카데미에서 불량 요소수 피해 방지 강연을 진행했다.롯데정밀화학이 화물차 운전자를..,03/08,0,267
"현대차, 이베코그룹 맞손 … “상용차 부문서 상호 협력”",공동 기술 개발 및 상호 공급 기회 탐색 위한 양해각서(MOU) 체결기술·부품·시스템 교차 사용 및 신기술·플랫폼 공동 개발 가능성 검토현대자동차가 이베코(IVECO)그룹과 상용차 부문에서..,03/08,0,253
벤츠 C-클래스 6세대 완전변경 모델 이달 중 국내 출시,벤츠 C클래스 6세대 완전변경 모델[메르세데스-벤츠 코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 메르세데스-벤츠코리아는 프리미엄 중형세단 C-클래스의 6세대 완전변..,03/07,5,4296
"""테슬라 원통형 배터리, 전기차 시장의 `게임 체인저` 될 것""","한국자동차연구원 보고서…""양산하면 원가 경쟁력 개선""원통형 배터리[테슬라 '배터리 데이' 유튜브 동영상 캡처. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 최평천 기..",03/07,0,1847
르노삼성차 XM3 2023년형 출시…,르노삼성차 2023년형 XM3[르노삼성차 제공. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 최평천 기자 = 르노삼성차는 SUV(스포츠유틸리티차) XM3 2023년형..,03/07,0,1296
"대전시, 노후 경유차 조기폐차·배출가스 저감장치 보조금 지원","차량 가격에 따라 차등 적용, 저감장치 설치비 10∼12.5% 본인 부담노후 차량 1만6천여대 폐차·2천500대 저감장치 부착 목표노후 경유차 운행 단속[연합뉴스 자료사진](대전=연합뉴스)..",03/07,0,430
"서울시, 어린이집·유치원에 전기차 구매 보조금 지원","서울특별시청 로고[연합뉴스TV 제공](서울=연합뉴스) 임미나 기자 = 서울시는 올해 어린이집과 유치원, 학원 등에 친환경 전기 통학차량을 보급하는 사업을 본격적으로 시행한다고 7일 밝혔다...",03/07,1,234
"""미래차·IoT가전 등 5개 신산업 분야 인력 1만명 이상 부족""","산업부, 산업기술인력 조사…부족률 4.2%로 2년새 0.2%p↑정부 3년 간 949억원 투입…미래차·반도체 등 혁신인재 양성인력 부족(PG)[장현경 제작] 일러스트(서울=연합뉴스) 권혜진 ..",03/07,0,180
유럽 중·대형 전기트럭 중 볼보 제품이 42%,"주문량만 1,100대 이상올해 인도는 더 빠를 것볼보 전기트럭 라인업.볼보트럭이 지난해 유럽 중대형 전기트럭 시장 점유율 42%를 달성했다. 통계분석업체 IHS 마킷(IHS Mar..",03/07,0,217
"르노삼성차 XM3, 프랑스 기자들이 뽑은 최고상 수상",르노삼성차 2023년형 XM3[르노삼성차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 르노삼성차의 수출 효자 모델인 쿠페형 스포츠유틸리티차(SUV) XM3(수출명 르노 아..,03/07,0,272
"서울시 ""전기차 충전기 이름 지어주세요""","[서울시 제공. 재판매 및 DB 금지](서울=연합뉴스) 고현실 기자 = 서울시는 이달 25일까지 전기차 충전기 명칭을 공모한다고 7일 밝혔다.공모에는 시민 누구나 참여할 수 있으며, 쉽고 ..",03/07,0,204
"서울시, 올해 수소차 500대 보급…구매보조금 3250만원 지원",충전소 11기로 확대…상반기 서소문청사 충전소 신설현대자동차 넥쏘[현대자동차 제공. 재판매 및 DB 금지](서울=연합뉴스) 고현실 기자 = 서울시는 올해 163억원을 투입해 친환경 수소 승..,03/07,0,295
제네시스 GV60 무선 업데이트로 스마트해진다…첨단기술 적용,운전자 보조 시스템 개선…주차 시 전·측방도 충돌 경고제네시스 첫 전기차 GV60[연합뉴스 자료사진](서울=연합뉴스) 최평천 기자 = 제네시스 GV60이 무선 소프트웨어 업데이트(OTA)를..,03/07,0,361
2월 수입차 판매 1만9천454대…반도체 부족에 작년보다 12.7%↓,벤츠 5천970대·BMW 5천656대 '양강'…전기차 163.7% 증가수입차 시장(CG)[연합뉴스TV 제공](서울=연합뉴스) 최평천 기자 = 글로벌 차량용 반도체 수급난에 지난달 수입차 판..,03/04,0,969
르노삼성 XM3 조향 제어장치 결함…4개사 4만9천246대 리콜,아우디폭스바겐 17개 차종은 에어백 소프트웨어 오류…과징금 검토르노삼성자동차 XM3[르노삼성자동차 제공·자료사진. 재판매 및 DB 금지](서울=연합뉴스) 윤보람 기자 = 국토교통부는 르노삼..,03/04,1,848
지난달 신차 등록 작년보다 8% 감소…국산·수입 모두 줄어,"카이즈유데이터연구소 집계…수입차 등록대수 벤츠 1위, BMW 2위수출 대기 중인 완성차들[연합뉴스 자료사진](서울=연합뉴스) 권희원 기자 = 차량용 반도체 수급난 여파로 지난달 국산차와 수..",03/04,0,292
"과태료 체납차 주차장 들어오면 자동 알림…서울시 ""즉시 단속""",공영주차장 내 번호판 인식 장비(왼쪽)와 입차 알림 메시지(오른쪽)[서울시 제공. 재판매 및 DB 금지](서울=연합뉴스) 임미나 기자 = 서울시는 4일부터 시내 공영주차장 99곳에서 '체납..,03/04,4,1336
현대차그룹 홈페이지 개편…별도 PR 사이트 통합·ESG 강조,현대차그룹 공식 홈페이지 개편[현대차그룹 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차그룹은 별도의 홍보 사이트를 합치고 ESG(환경·사회·지배구조) 경영 의지를 강..,03/04,0,316
"만트럭버스, “한국 고객과 현장의 목소리 적극 반영했다”",| 만트럭 평택 PDI 내 ‘뉴 MAN TGS’ 취재기제품 개발 전부터 한국 고객 의견 적극 수용프리미엄 사양 및 첨단 기술 대거 반영 눈길만트럭버스 평택 출고센터에서 고객인도를 기다리는 ..,03/04,1,508
"보조금 업고 산 전기트럭, 잦은 고장·A/S 주의보",전기트럭 시장 진출한 중소업체 급증하자배터리 충전 불량·부실 A/S 논란도 커져정부 구매보조금으로 차량 구매에 앞서차량 품질·판매사 A/S 여건 등 확인 필요일부 소형 전기트럭을 중심으로 ..,03/04,0,652
"한국GM 창원공장, 글로벌 신차 생산 준비…시간당 차량 60대","대규모 시설 투자…""2023년부터 차세대 크로스오버 차량 생산""한국GM 조립공장[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 한국GM 창원공장이 대규모 시설 투자..",03/03,6,2489
보조금 확정되니…국산 전기차 2월 판매 전월 대비 12배 폭증,베스트셀링카는 아이오닉 5·포터·봉고EV·EV6·GV60 순전기차[게티이미지뱅크 제공](서울=연합뉴스) 박성민 기자 = 지난달 국산 전기차 판매가 전월보다 12배 이상 폭증한 것으로 나타났..,03/03,0,1367
"""車부품업계 국내서 생존 우려…정부가 조속히 대책 마련해야""","자동차산업연합회, 부품업계 애로 해소 건의서 정부에 제출(서울=연합뉴스) 박성민 기자 = 자동차산업연합회(KAIA)는 신종 코로나바이러스 감염증(코로나19)에 주 52시간제 등으로 자동차 ..",03/03,0,406
"""반도체난 점진적 완화""…완성차업계 2월 판매 작년보다 3.2%↑",현대차·기아·쌍용차·르노삼성차 일제히 플러스…한국GM만 역성장자동차·반도체 (CG)[연합뉴스TV 제공](서울=연합뉴스) 박성민 최평천 기자 = 글로벌 차량용 반도체 품귀현상이 점차 해소될 ..,03/03,1,461
"기아도 전동화 속도…""2030년 전기차 14종으로 120만대 판매""","중장기 전략…""2027년 전기차 11종 풀라인업·2030년 총판매량 400만대""현대차까지 합하면 2030년 전기차 307만대…양사 글로벌 전기차 점유율 12%""2026년 매출 120조원·영..",03/03,0,307
"""미세먼지 줄이자"" 청주시 경유차 조기폐차 신청 접수","노후경유차 폐차(PG)[제작 이태호] 사진합성, 일러스트(청주=연합뉴스) 윤우용 기자 = 청주시는 이달 7∼22일 노후 경유차 조기 폐차 지원 신청서 등을 접수한다고 3일 밝혔다.조기 폐차..",03/03,0,294
"르노삼성차, 자동차업계 첫 온라인 정비 견적 서비스 선보여",르노삼성차 온라인 정비 견적 서비스[르노삼성차 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 르노삼성자동차는 국내 자동차 업계에서 처음으로 온라인으로 정비 견적을 미리 확인..,03/03,1,241
쌍용차 회생계획안 통과 `불투명`…상거래채권단 반대하기로,"""변제율 1.75%, 진정성 안 느껴져""…출자전환 주식 합해도 실질 변제율 6.01%쌍용차 회생계획안 통과 불투명 (CG)[연합뉴스TV 제공](서울=연합뉴스) 최평천 기자 = 쌍용차가 기업..",03/03,1,275
"현대차, 2030년까지 전기차 앞세워 판매 늘리고 이익률 10% 달성",공격적인 전동화 전략 공개…판매목표 상향·생산전략 구체화배터리 확보·플랫폼 개선계획 제시…'올 커넥티드카'도 구현(서울=연합뉴스) 김보경 기자 = 현대차가 급성장하고 있는 전기차 시장을 겨..,03/03,0,208
반도체난 풀리나…현대차 2월 판매 작년 동월보다 1.4%↑,"8개월 만에 전년 동월보다 실적 상승…""반도체 수급난 점진 완화 등 영향""현대자동차 실적 상승 (PG)[홍소영 제작] 일러스트(서울=연합뉴스) 박성민 기자 = 현대차의 지난달 판매실적이 지..",03/03,0,310
"현대차 전동화 가속페달…""2030년 전기차 17종 187만대 판매""","중장기 전동화 전략…전기차 시장 점유율 7% 목표, 기아까지 합해 12%전기차 전용공장 짓고 차세대 배터리·플랫폼·SW 기술 개발에 집중미래사업에 95조5천억원 투자…2030년 전기차 영업..",03/03,0,178
함평 빛그린 산단에 자동차 부품·타이어 기업 유치,"전남도, 금속·기계·식품 8개 기업과 777억 투자협약빛그린산단과 자동차생산공장[연합뉴스 자료사진](무안=연합뉴스) 여운창 기자 = 전남 함평 빛그린 국가산단에 자동차 타이어·범퍼 생산공장..",03/03,0,232
"캐딜락 `CT5-V 블랙윙` 국내 출시…""브랜드 최고의 퍼포먼스""",캐딜락 CT5-V 블랙윙[캐딜락 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 캐딜락은 새로운 고성능 라인업 모델 'CT5-V 블랙윙'(Blackwing)을 2일 국내에 출..,03/02,1,3485
"기아 EV6, `유럽 올해의 차` 거머쥐었다…한국 브랜드 중 최초",작년 10월 이후 1만대 이상 판매…아이오닉5도 최종 3위(서울=연합뉴스) 김보경 기자 = 기아의 전용 전기차 EV6가 한국 브랜드 최초로 '유럽 올해의 차'(COTY·the Car of ..,03/02,5,1262
"새 파워트레인 적용된 스카니아 560S, 스웨덴 현지서 ‘호평’",100km당 연료 34ℓ 소모바이오디젤로도 구동 가능해스카니아의 최상위 라인업 중 하나인 560S 모델이 연료 효율을 향상한 새 파워트레인을 적용한 이후 현지서 높은 평가를 받았다고 지난 ..,03/02,0,819
3월부터 전국 전기차 충전시설 1만6천개소 특별 안전점검,전기차 충전시설을 점검 중인 전기안전공사 직원[전기안전공사 제공. 재판매 및 DB 금지](서울=연합뉴스) 윤보람 기자 = 한국전기안전공사는 3월부터 전국 전기자동차 충전시설을 대상으로 특별..,03/02,0,309
"카허 카젬 한국GM 사장, 중국 SAIC-GM 총괄 부사장으로 선임",6월 1일 자로 한국 떠나…후임 사장은 추후 선임 예정카허 카젬 한국GM 사장[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 카허 카젬 한국GM 사장 겸 최고경영자..,03/02,0,353
"정부, 미래차 전환 추진 자동차 부품기업에 대출·이자 지원",친환경차 전환 (PG)[박은주 제작] 사진합성·일러스트(서울=연합뉴스) 권혜진 기자 = 정부가 미래차 전환을 위해 투자하는 자동차 부품기업을 위한 대출상품을 출시하고 이자 일부를 지원하기로..,03/02,0,191
"중 홍얀, 연산 3,000대 규모 대형 수소트럭 생산 돌입",상하이자동차(SAIC)의 대형트럭 자회사 홍얀(Hongyan)은 네이멍구자치구에 위치한 어얼둬쓰(Ordos)시에서 수소트럭을 생산한다고 지난 1월 밝혔다.홍얀은 중국 정부의 ‘수소트럭 1만..,03/02,0,327
"1월 트럭시장, 전년 동월比 0.8%↑...상승세 주춤","준중형급 이상 카고, 트랙터, 덤프, 믹서 등2,675대 등록...전년比 0.8%↑, 전월比 12.8%↓생산 차질 및 계절적 요인 겹쳐 회복세 둔화지난 1월 국내 트럭시장 실적은 전년 동월..",03/02,0,195
"그랜저 실내공기 유해물질 기준치 초과…국토부, 시정 조치","현대차, 작년 GV80에 이어 또 톨루엔…추가 시험에선 기준 충족현대차 6세대 그랜저[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 작년 출시된 신차 중 현대차의 그..",02/28,3,2211
"미니코리아, 첫 순수전기차 `미니 일렉트릭` 국내 공식 출시",미니 일렉트릭[미니코리아 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 프리미엄 소형차 브랜드 미니(MINI) 코리아는 첫 순수전기 모델인 '미니 일렉트릭'을 국내에 공식 ..,02/28,0,1721
"독일 車전문지 전기 SUV 비교평가서 아이오닉5 1위, EV6 2위","현대차그룹 ""독일 3대 전문지 중 하나서 1, 2위 석권…상품성 인정""현대차 아이오닉 5[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차 아이오닉 5와 기아 E..",02/28,2,1012
"쌍용차, 기업회생절차 10개월 만에 회생계획안 법원 제출",관계인집회서 채권단 투표로 최종 인가 여부 결정…변제율이 '관건'서울 시내 한 쌍용자동차 대리점 앞을 지나는 시민[연합뉴스 자료사진](서울=연합뉴스) 최평천 기자 = 쌍용차가 기업회생절차에..,02/28,0,536
"전기차 타는 가상인간…쉐보레, 로지와 볼트EV·EUV 광고 협업",로지와 쉐보레 볼트 EV·EUV[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 한국GM의 글로벌 브랜드 쉐보레는 2022년형 볼트 EV와 볼트 EUV 고객 인도를 ..,02/28,0,416
지난해 한국 자동차 생산 346만대…세계 5위 유지,"자동차산업협회 조사…1∼4위는 중국·미국·일본·인도""전기차 생산 지원 강화·핵심 원자재 안정적 확보책 필요""(서울=연합뉴스) 박성민 기자 = 지난해 우리나라의 자동차 생산 대수가 전년보다 ..",02/28,0,252
"부산, 12월부터 배출가스 5등급 자동차 운행 제한",올해 미세먼저 저감대책에 3천267억원 투입배출가스 5등급 자동차 운행제한 표지판[연합뉴스 자료 사진](부산=연합뉴스) 민영규 기자 = 부산시는 오는 12월부터 배출가스 5등급 자동차 운행..,02/28,0,338
"서울시, 상반기 전기택시 1500대 보조금 지원…최대 1200만원",전기차 충전기[연합뉴스 자료사진] 작년 7월 4일 서울 종로구 서울역사박물관에 설치된 환경부 전기차 급속충전기 모습. 2021.7.4(서울=연합뉴스) 임미나 기자 = 서울시는 올해 상반기 ..,02/28,0,190
"LG전자, 전장 사업 드라이브…5G 텔레매틱스 공략 나서",차량 무선 인터넷 기술 강자…차세대 5G 기반 부품 수주(서울=연합뉴스) 김영신 기자 = 전장 사업을 차세대 신사업으로 키우고 있는 LG전자가 5세대 이동통신(5G) 텔레매틱스 시장 공략을..,02/28,0,195
`무공해차 보급-충전 기반시설 구축` 연계 사업 공모,"2월 28일∼3월 31일 지자체·민간사업자 신청받아종로구, 평창동에 전기차 급속충전소 구축(서울=연합뉴스) 서울 종로구는 평창동에 전기차 급속충전소를 구축했다고 3일 밝혔다.사진은 종로구 ..",02/28,0,163
차량등록때 산 채권 환급받았나요?…사라지는 미환급금 연 20억,자동차 등록·지자체 인허가 계약 등 의무채권 매입시효 지나도록 환급 안 받는 경우 많아…내달부터 온라인서도 환급장한평 중고차 시장※기사와 직접적인 관련이 없습니다. [연합뉴스 자료사진](서..,02/28,1,1524
[시승기] 확 달라진 외관에 가격은 낮췄다…쉐보레 신형 볼트EV,1회 충전시 414㎞ 주행…올해 2분기부터 고객에 인도쉐보레 신형 볼트 EV[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 한국GM 쉐보레의 순수전기차 볼트 EV가..,02/28,0,500
"포스코케미칼, 전기차 배터리 핵심 `저팽창 음극재` 투자 확대","""연 3만5천t 생산해 고객 수요 대응""포스코케미칼 음극재 세종 공장 전경[포스코케미칼 제공. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 포스코케미칼은 전기차 배터리 핵심 소재..",02/28,0,187
"현대차 수소전기버스, 오스트리아 시내버스로 투입",수도 '빈' 정규노선 시작으로 그라츠·잘츠부르크까지 총 3대 투입 예정오스트리아 시내버스 노선에 투입된 현대차 수소전기버스[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자..,02/28,0,261
"전기차, 하이브리드차 넘을까…車업계 순수 전기차 출시 `박차`",현대차·테슬라 양분한 국내 전기차 시장…외국계 3사도 참전수입차 브랜드도 전기차 라인업 확대…올해 잇따라 신차 출시전기차[게티이미지뱅크 제공](서울=연합뉴스) 최평천 기자 = 정부가 이르면..,02/28,0,241
제네시스 G70 글로벌 누적 판매 10만대 돌파…출시 5년만,왜건형 모델 슈팅 브레이크로 유럽시장 공략…국내 출시도 검토더 뉴 G70[제네시스 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차 고급 브랜드 제네시스의 중형 스포츠 ..,02/28,1,379
"화학연, 전기 자동차용 전고체 전지 개발…기술이전 협약",차세대 전고체 전지용 고분자 고체 전해질 및 전극 핵심 기술 개발[한국화학연구원 제공. 재판매 및 DB 금지](대전=연합뉴스) 김준호 기자 = 한국화학연구원 강영구·석정돈·김동욱 박사 연구..,02/28,0,204
"천연가스수소차량협회, LNG화물차 구매 보조 예산 확대 추진",김용신 신임 회장 선임한국천연가스수소차량협회(KANFV)의 신임 회장으로 김용신 한국가스공사 수소사업운영처장이 선임됐다. 협회는 올해 CNG버스의 수소버스 전환 및 LNG화물차 보급 확대를..,02/28,0,149
"니콜라, 수소트럭 ‘Tre’ 맥주회사에 보급…시범운행 실시","미국 수소트럭 스타트업 니콜라모터스가 수소트럭을 맥주 제조회사인 ‘앤하이저부쉬(Anheuser-Busch)’에 보급, 시범사업을 진행했다고 13일(현지시각) 밝혔다.이번 시범사업은 앤하이저..",02/28,0,313
상용차는 아직 ‘배기량이 깡패’다 ④ 디젤·CNG 버스 편,"숫자로 말하는 ‘엔진스펙’내연기관에서는 배기량이 출력의 지표로 작용하는데, 배기량이 클수록 더 강력한 출력을 발휘한다.전기버스 엔진에 이어 이번 호에서는 디젤 및 압축천연가스(CNG) 등 ..",02/28,0,221
"만트럭버스, 전 세계 상용차 판매 평년 수준 회복","작년 총 9만 4,000대 판매...전년비 14.6% 증가만트럭버스는 작년 전 세계 상용차 공급량이 코로나19 이전인 2019년 수준으로 회복했다고 최근 밝혔다. 만트럭버스는 지난해 약 9..",02/28,0,153
"중 BYD, 전 세계 전기버스 누적 판매량 7만 대 돌파","중국의 대표적인 전기차업체 BYD가 지난달 기준 자사 누적 전기버스 판매량이 7만 대를 돌파했다고 밝혔다. BYD가 발표한 보도자료에 따르면, 전기버스 대부분이 중국 자국 내에서 ..",02/28,0,182
"현대차그룹 21개 차종, 美보험단체 충돌평가 `최고 안전한 차`","현대차·기아 8개씩, 제네시스 5개…제네시스는 모두 최고등급 선정글로벌 완성차그룹 중 최다…""높은 안전성 재차 입증""제네시스 GV80[제네시스 제공. 재판매 및 DB 금지](서울=연합뉴스)..",02/25,2,1577
"익산시, 올해 전기자동차 495대 보급…최대 2천200만원 지원",전기자동차 충전소[연합뉴스 자료사진](익산=연합뉴스) 홍인철 기자 = 전북 익산시는 미세먼지 저감으로 깨끗한 대기환경을 조성하기 위해 올해 495대의 전기자동차를 보급한다고 24일 밝혔다...,02/25,0,426
"현대차, 소프트웨어 개발조직 강화…차량SW담당에 송창현 사장",현대차 프레스 컨퍼런스 무대 오른 송창현 사장[연합뉴스 자료사진](서울=연합뉴스) 권희원 기자 = 현대자동차그룹이 연구개발본부 산하에 신설한 '차량 소프트웨어(SW) 담당'에 송창현 Taa..,02/25,0,631
"강원도, 미래차 산업에 2030년까지 4천557억원 투자",3대 추진 전략 발표…생태계 조성을 위한 기반 마련(춘천=연합뉴스) 이재현 기자 = 강원도가 미래자동차 산업 생태계 조성을 위해 국비와 민자를 포함해 총 4천557억원을 투자한다.미래차가 ..,02/25,0,277
"현대차, 쉘과 손잡고 전기차 보급 등 탄소중립 이행 박차","쉘 주유소에 전기차 충전 인프라 구축…디지털 분야도 협력현대차, 쉘과 손잡고 전동화·탄소중립 속도 낸다(서울=연합뉴스) 현대차가 선도적인 글로벌 에너지기업 쉘(Shell)과 친환경 가치사슬..",02/25,0,243
GV70 전동화모델 오늘부터 사전계약…1회 충전으로 최대 400㎞ 주행,"G80·GV60 이어 제네시스 세번째 전기차…""3월 출시해 특별전시·시승 운영""제네시스 GV70 전동화 모델[제네시스 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차의..",02/24,2,2047
"의료기기 업체 유앤아이, 에디슨모터스 `쌍용차 인수단`에 합류",에디슨모터스·에디슨EV·유앤아이 쌍용차 인수 협력 업무협약에디슨모터스 생산 전기자동차[에디슨모터스 홈페이지 캡처](서울=연합뉴스) 최평천 기자 = 의료기기 제조업체인 유앤아이가 에디슨모터스..,02/24,0,894
"`군산형일자리` 대표기업 명신, 中지리차와 전기트럭 개발 추진","""개발에 대한 계획단계…3천~4천대로 국내 안방 차지한다 볼 수 없어""양산단계까지 가면 옛 한국GM 군산공장서 생산…中업체 국내 첫 생산 사례명신 군산공장[명신 군산공장 제공](서울 군산=..",02/24,0,518
"하이브리드 `저공해차 제외` 방침에 車업계 술렁…""너무 일러""","소비자는 세제지원 없어지고, 자동차업계는 전기차 전환 부담정부 친환경차 보급목표도 차질 전망(서울=연합뉴스) 김보경 권희원 기자 = 정부가 이르면 2025년부터 하이브리드차(HEV)를 저공..",02/24,0,585
"""내연차는 친환경 아냐""…2024년부터 `저공해차`서 차례로 제외",LPG·CNG·휘발유는 2024년부터…하이브리드는 2025년 또는 2026년하이브리드 포함 저공해차 개소세 감면기한은 2~3년 연장 적극 검토서울 종로구 서울역사박물관에 설치된 환경부 전기..,02/24,1,519
제주 사용 후 전기차 배터리 저장시설 포화…활용 방안은?,"제주도, 공공 활용·민간 매각 기준 의견 수렴(제주=연합뉴스) 고성식 기자 = 제주지역 전기차가 연내 3만 대 시대를 목표하는 가운데 사용 후 버려지는 전기차 배터리를 공공에서 활용하거나 ..",02/24,0,395
한국수입차협회 회장에 틸 셰어 아우디폭스바겐코리아 사장,틸 셰어 한국수입자동차협회 신임 회장[한국수입차협회 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 한국수입자동차협회(KAIDA)는 틸 셰어 아우디폭스바겐코리아 그룹 사장을 ..,02/24,0,215
"수원시, 수소·전기차 구매하면 보조금 지원",(수원=연합뉴스) 최종호 기자 = 경기 수원시는 올해 수소·전기차 등 친환경 차량을 구매하는 시민에 보조금을 지원한다고 24일 밝혔다.[수원시 제공. 재판매 및 DB 금지]수소전기차 넥쏘를..,02/24,0,266
남양주시 올해 전기차 1천733대 구매 지원…작년의 2.3배,(남양주=연합뉴스) 김도윤 기자 = 경기 남양주시는 올해 전기자동차 구매 지원 물량을 1천733대로 정했다고 23일 밝혔다.이는 지난해 748대의 2.3배 수준이다.남양주시는 우선 상반기에..,02/24,0,191
"현대차, 내달 24일 주총…정의선 사내이사로 재선임키로",박정국·이동석 사내이사 신규 선임현대차 양재동 사옥[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차가 연구개발본부장인 박정국 사장과 국내생산담당 이동석 부사장을..,02/24,0,186
"한국GM 사장 ""볼트EV·EUV 포함 전기차 10종 2025년까지 출시""",카허 카젬 한국GM 사장 영상 메시지[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 카허 카젬 한국GM 사장이 볼트 EV·EUV를 시작으로 2025년까지 국내 시장..,02/23,0,917
지난해 신규 등록 전기차 74.1%는 국내 제조,"7만4천393대로 집계…전년 47.6% 대비 상승현대차, 일본 승용차 시장 재진출(서울=연합뉴스) 8일 일본 도쿄 오테마치 미쓰이홀에서 열린 현대차 미디어 간담회에서 우라베 타카오 HMJ ..",02/23,0,275
"현대모비스, 車램프로 지난해 해외에서 1조원 넘게 수주",전체 해외수주액 ⅓ 램프에서 나와…미래모빌리티 전용제품도 개발(서울=연합뉴스) 김보경 기자 = 현대모비스는 지난해 자동차 램프 부문에서만 1조원이 넘는 글로벌 수주를 기록했다고 23일 밝혔..,02/23,1,451
